Place,Details,Class,WordCount,Similar_Words
Signal Hill,signal hill side table mountain named firing cannon end known lion head mountain appearance lion head signal hill meter sea level multiple angle mountain overlook cityscape cape town vast atlantic ocean panoramic view famous table mountain signal hill good place watch cape town view known three major view world wonderful view multiple angle mountain dazzling crystal clear endless fire tree silver flower stretch dozen kilometer breathtaking unforgettable traditional ceremony held every day cape town except sunday cannon salvo signal hill punctual south african even used set clock,None Related,168,"african, silver, mountain, multiple, named, ocean, overlook, panoramic, place, punctual"
Alexandria Library,futuristic discshaped building worldrenowned reading place seat reader entire building covered variety script around world reflect multicultural heritage spirit library million book collection traditional library tour begin lobby multilingual guide divided fixed museum whose theme antique manuscript former president sadat history science important feature library interactive display cultural nine huge computer screen form semicircle show panorama war history interactivity screen ensures history click specific content major event better understand situation,None Related,147,"antique, around, million, multicultural, multilingual, museum, nine, panorama, place, president"
Pompey's Pillar,pompeii column tower ruin temple serapeum requires step reach pompeii column huge column meter high hewn red aswan granite famous pompeii column stand impressively remains rhakotis hill alexander great grew pompeii column main attraction alexandria main body shaftshaped coneshaped granite foundation depth meter beautiful corinthian capital top inscription base pompeii column show column ad support statue emperor order spread culture protect civilization ruler year founded serapis belief word serapis come god osirapis ptomiele added characteristic god created new patron god serapis placed mount rohaktes temple serabyum mound subsequent political religious dispute temple destroyed,None Related,193,"ad, rohaktes, requires, remains, religious, red, reach, ptomiele, protect, pompeii"
Nairobi National Park,nairobi national park kilometer south nairobi city center west a national road square kilometer savannah woodland africa wildlife park nairobi national park nairobi park true park world national capital,None Related,53,"africa, savannah, woodland, wildlife, west, true, square, south, road, capital"
Giraffe Centre,giraffe center home endangered mission foster conservation awareness provide environmental education goal inspiring appreciate protect diversity animal kenya place interesting lot activity observe feed even kiss giraffe secondfloor balcony red building strange extremely rare experience especially child adult childlike innocence giraffe center cross adjacent gogo river gogo river enter bird sanctuary take walk fun forest walk unlike common reticulated masai mara giraffe endangered specie largely disappeared habitat western kenya endangered wildlife fund getting started fewer wild number specie exceeds giraffe centre successfully reintroduced charismatic animal lake nakuru national park ruma national reserve ruma national park nationalpark nasalot national reserve nasalot national reserve,None Related,193,"activity, adjacent, place, park, observe, number, nationalpark, national, nasalot, nakuru"
Mortuary Temple of Hatshepsut,temple famous queen father thutmose history valley surrounded cliff two long wide slope connect three flat wide colonnade building series,None Related,41,"building, series, valley, two, thutmose, three, temple, surrounded, slope, queen"
Royal Palace Rabat Morocco,rabat palace history typical arabian palace building royal palace avenue wide straight ancient cannon around square large circular fountain center square king morocco welcome head state world palace approached allowed stop look around long time allowed take picture,None Related,87,"allowed, ancient, wide, welcome, typical, time, take, straight, stop, state"
Mount Kilimanjaro,mount kilimanjaro junction tanzania kenya height meter area square kilometer kilimanjaro swahili mean shining mountain bright beautiful mountain standing rolling plain far ocean known roof temple god peak covered snow round forming spectacle equatorial snowcapped mountain admire peak due influence hemingway famous novel snow kilimanjaro hemingway outline magical mood stroke beginning however global warming effect kilimanjaro snow melting could disappear completely within year compared alone shrunk percent,None Related,138,"admire, round, meter, mood, mount, mountain, novel, ocean, outline, peak"
Lion & Safari Park,mustsee attraction base feed lion hand opportunity take picture little lion,None Related,34,"attraction, base, feed, hand, lion, little, mustsee, opportunity, picture, take"
Baie du Tamarin,come mauritius must choose go sea greater pleasure going sea dolphin dolphin bay tamarin town west coast mauritius surrounded mountain beautiful scenery want dolphin must take speedboat speedboat find dolphin turn head keep dolphin close addition several company offer swimming service wild dolphin luxury resort small town dedicated dinghy take guest shoe need taken boarding ship collected crew stored several box barefoot set foot cleaned ship speedboat left pier sailed towards middle sea weather good time water sparkling boat sailed farther farther color water changed green sapphire blue dark blue arrive bay need wait dolphin appear generally dolphin predation stage time probability seeing dolphin bottlenose dolphin mao island best place world get close personal bottlenose dolphin common specie dolphin little gray creature live warm water named elongated snout swim fast said dolphin generally swim speed kilometer per hour reach kilometer per hour faster however speed maintained last short time bottlenose dolphin breathe water jet head get surface breathe dolphin appeared around began cheer cheer whole dolphin bay filled joy dolphin always near far boat keep chasing dolphin whenever dolphin swim front boat boat excited exclaimed constantly dolphin often respond people exclamation jump water happily even nice front flip dolphin sprang water time time exclaiming another group dolphin happily swimming sea wave time jump water swim sea chasing sea wisp sun beam shoot sea front look like palace brilliant golden wall seabed ten meter deep covered coral hundred dolphin swim group within field vision sea breathe sink bottom sea wonderful twoandahalfhour interaction dolphin seen constantly swimming interacting diver afraid human friendly visiting dolphin speedboat take back shore next attraction,None Related,571,"addition, shoe, pier, place, pleasure, predation, probability, reach, resort, respond"
